file,algo,n,seed_idx,fidelity,noise_impact,transpile_s,sim_s,error
bv_indep_none_3_s0.qasm,bv,3,0,0.9531249999999999,0.04687500000000011,0.154,1.527,
bv_indep_none_4_s0.qasm,bv,4,0,0.927734375,0.072265625,0.107,1.338,
bv_indep_none_5_s0.qasm,bv,5,0,0.9062500000000001,0.09374999999999989,0.106,1.345,
bv_indep_none_6_s0.qasm,bv,6,0,0.728515625,0.271484375,0.105,1.254,
dj_indep_none_3_s0.qasm,dj,3,0,0.9365234375,0.0634765625,0.109,1.431,
dj_indep_none_4_s0.qasm,dj,4,0,0.9248046875,0.0751953125,0.114,1.197,
dj_indep_none_5_s0.qasm,dj,5,0,0.8935546875,0.1064453125,0.103,1.261,
dj_indep_none_6_s0.qasm,dj,6,0,0.8720703125,0.1279296875,0.098,1.297,
full_adder_indep_none_4_s0.qasm,full_adder,4,0,0.9091796875,0.0908203125,0.116,1.23,
full_adder_indep_none_6_s0.qasm,full_adder,6,0,0.71875,0.28125,0.112,1.488,
ghz_indep_none_3_s0.qasm,ghz,3,0,0.9136405665961584,0.08635943340384156,0.111,1.091,
ghz_indep_none_4_s0.qasm,ghz,4,0,0.8826491486712871,0.11735085132871292,0.108,1.458,
ghz_indep_none_5_s0.qasm,ghz,5,0,0.8338876880979844,0.16611231190201559,0.105,1.53,
ghz_indep_none_6_s0.qasm,ghz,6,0,0.6856305812918967,0.3143694187081033,0.118,1.327,
graphstate_indep_none_3_s0.qasm,graphstate,3,0,0.9998329665242378,0.00016703347576219052,0.101,1.109,
graphstate_indep_none_4_s0.qasm,graphstate,4,0,0.9993072603712823,0.0006927396287177423,0.109,1.231,
graphstate_indep_none_5_s0.qasm,graphstate,5,0,0.998346575677411,0.00165342432258897,0.102,1.265,
graphstate_indep_none_6_s0.qasm,graphstate,6,0,0.9921236289464792,0.007876371053520792,0.104,1.302,
grover_indep_none_3_s0.qasm,grover,3,0,0.9267578125,0.0732421875,0.108,1.278,
grover_indep_none_4_s0.qasm,grover,4,0,0.932171488131944,0.06782851186805605,0.122,1.354,
