preprocessing,method,k_or_eps,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz,purity,ari,nmi,bic
raw,KMeans,2.0,2,0,0.9702201397111547,0.2784626988146637,1155.9902905952551,0.15979381443298968,0.0030417069936613775,0.0460414209602284,
raw,KMeans,3.0,3,0,0.9646679459630872,0.3962292106561058,2068.468176946719,0.17010309278350516,0.005105786500772689,0.0708938679975632,
raw,KMeans,4.0,4,0,0.959289652947683,0.3569340518038915,3740.792437980458,0.17010309278350516,0.004653876660056616,0.07054776333526885,
raw,KMeans,5.0,5,0,0.9533193178923186,0.2769362670572825,4868.51424298732,0.17010309278350516,0.004540869446235139,0.07037597518339848,
raw,KMeans,6.0,6,0,0.9487823332857221,0.14398198266544304,6395.145717034594,0.17010309278350516,0.004427850327195251,0.07020502162870819,
raw,KMeans,7.0,7,0,0.6539913090735364,0.31083783001670173,8297.79281689881,0.23195876288659795,0.024245805748642935,0.16336143129821215,
raw,KMeans,8.0,8,0,0.6495761638886962,0.20516723900928446,11472.69996187244,0.23195876288659795,0.025714295765075147,0.1682200671846254,
raw,KMeans,9.0,9,0,0.6661888584175687,0.20482617663812855,21144.036553990092,0.24742268041237114,0.0272854902058708,0.20277368672454543,
raw,KMeans,10.0,10,0,0.5901900055244429,0.29033819213750384,26670.19312286924,0.26288659793814434,0.03402469822663962,0.2181524465315104,
raw,Agglomerative-Ward,2.0,2,0,0.9642604819005104,0.41816837458300643,817.5144340400982,0.17010309278350516,0.006009035303169717,0.07137620605849501,
raw,Agglomerative-Ward,3.0,3,0,0.9646679459630872,0.3962292106561058,2068.468176946718,0.17010309278350516,0.005105786500772689,0.0708938679975632,
raw,Agglomerative-Ward,4.0,4,0,0.959289652947683,0.3569340518038915,3740.792437980458,0.17010309278350516,0.004653876660056616,0.07054776333526885,
raw,Agglomerative-Ward,5.0,5,0,0.9533193178923186,0.2769362670572825,4868.51424298732,0.17010309278350516,0.004540869446235139,0.07037597518339848,
raw,Agglomerative-Ward,6.0,6,0,0.9487823332857221,0.14398198266544304,6395.145717034595,0.17010309278350516,0.004427850327195251,0.07020502162870819,
raw,Agglomerative-Ward,7.0,7,0,0.6650709576649156,0.31648823100895285,8294.62650087618,0.21649484536082475,0.02111143120142516,0.16185637941571335,
raw,Agglomerative-Ward,8.0,8,0,0.6594776674634484,0.2029228439898542,11448.271676027836,0.21649484536082475,0.020955211397506675,0.1615176585821156,
raw,Agglomerative-Ward,9.0,9,0,0.6690126195745061,0.19925531349965808,20895.771982452574,0.23195876288659795,0.022169042517572925,0.1894985785827892,
raw,Agglomerative-Ward,10.0,10,0,0.6701567523397579,0.17426904817181119,22590.964006932132,0.23195876288659795,0.021854496269716726,0.18896216443543434,
raw,DBSCAN,0.5,0,194,,,,0.0,,,
raw,DBSCAN,1.0,0,194,,,,0.0,,,
raw,DBSCAN,1.5,0,194,,,,0.0,,,
raw,DBSCAN,2.0,0,194,,,,0.0,,,
raw,DBSCAN,2.5,0,194,,,,0.0,,,
raw,DBSCAN,3.0,0,194,,,,0.0,,,
raw,DBSCAN,3.5,2,177,0.3889259559501986,0.5748219337927428,13.623275974304931,0.9411764705882353,0.2468354430379747,0.2376249094218317,
raw,DBSCAN,4.0,4,159,0.2769990799103415,0.764983832546855,28.64402819056453,0.8285714285714286,0.4769939243837313,0.5609111530432684,
raw,DBSCAN,4.5,3,150,0.500224953277632,0.37638470269628693,76.27574185698889,0.6590909090909091,0.05311546176881284,0.31812664368376936,
raw,DBSCAN,5.0,3,143,0.5121351072871436,0.36021071000343713,82.14347972858604,0.5686274509803921,1.6798940826780873e-05,0.24162185300951733,
raw,GaussianMixture,2.0,2,0,0.9702201397111547,0.2784626988146637,1155.9902905952551,0.15979381443298968,0.0030417069936613775,0.0460414209602284,13183.941544457968
raw,GaussianMixture,3.0,3,0,0.9646679459630872,0.3962292106561058,2068.468176946719,0.17010309278350516,0.005105786500772689,0.0708938679975632,14480.35896348664
raw,GaussianMixture,4.0,4,0,0.959289652947683,0.3569340518038915,3740.792437980458,0.17010309278350516,0.004653876660056616,0.07054776333526885,18005.53825356377
raw,GaussianMixture,5.0,5,0,0.9533193178923186,0.2769362670572825,4868.51424298732,0.17010309278350516,0.004540869446235139,0.07037597518339848,21653.742194113805
raw,GaussianMixture,6.0,6,0,0.6660274422588115,0.4470632217741555,4969.3825610809945,0.21649484536082475,0.019580012992409603,0.15075407408112323,16515.76676149659
raw,GaussianMixture,7.0,7,0,0.6585110563633213,0.38353222294230216,5093.454517492827,0.21649484536082475,0.01942369228970348,0.15043792570397807,20167.160850502933
raw,GaussianMixture,8.0,8,0,0.6559272123220171,0.19547042826256808,11451.813141307959,0.21649484536082475,0.019267348646705033,0.15012310054983136,23816.614723341347
